id,gold,student_answer,student_correct,student_method,student_note,A_answer,A_correct,A_method,A_note,B_answer,B_correct,B_method,B_note,teacher_answer,teacher_correct,teacher_method,teacher_note
test_0000,52,53.67,False,single_number_conclusion,,90,False,strict,,36.33,False,strict,,52,True,strict,
test_0001,5,50,False,boxed,,25,False,strict,,15,False,strict,,5,True,strict,
test_0002,83,82,False,boxed,,30,False,strict,,83,True,strict,,83,True,strict,
test_0003,10,10,True,manual_adjudication,回答给出4个蓝盒和6个红盒，合计10；语义正确但未显式给总数,21,False,strict,,10,True,strict,,6,False,strict,
test_0004,70,35,False,boxed,,40,False,strict,,50,False,strict,,70,True,strict,
test_0005,36,24,False,boxed,,36,True,strict,,12,False,strict,,36,True,strict,
test_0006,48,48,True,manual_adjudication,结论明确为48,48,True,strict,,48,True,strict,,48,True,strict,
test_0007,16,16,True,single_number_conclusion,,16,True,strict,,16,True,strict,,16,True,strict,
test_0008,8,-6.6,False,boxed,,8,True,strict,,-6.6,False,strict,,8.00,True,strict,
test_0009,48,48,True,boxed,,48,True,strict,,24,False,strict,,48,True,strict,
test_0010,90,90,True,boxed,,90,True,strict,,90,True,strict,,90,True,strict,
test_0011,10,16,False,boxed,,10,True,strict,,19,False,strict,,10,True,strict,
test_0012,2,15,False,boxed,,6,False,strict,,7,False,strict,,15,False,strict,
test_0013,45000,45000,True,single_number_conclusion,,270000,False,strict,,22500,False,strict,,45000,True,strict,
test_0014,18,3,False,single_number_conclusion,,3,False,strict,,3,False,strict,,18,True,strict,
test_0015,140,140,True,single_number_conclusion,,130,False,strict,,140,True,strict,,140,True,strict,
test_0016,17,17,True,boxed,,24,False,strict,,20,False,strict,,17,True,strict,
test_0017,68,47,False,boxed,,68,True,strict,,68,True,strict,,68,True,strict,
test_0018,8,8,True,boxed,,8,True,strict,,8,True,strict,,8,True,strict,
test_0019,14,14,True,boxed,,14,True,strict,,14,True,strict,,14,True,strict,
test_0020,50,58.33,False,single_number_conclusion,,75,False,strict,,12.5,False,strict,,50,True,strict,
test_0021,100,100,True,single_number_conclusion,,40,False,strict,,100,True,strict,,100,True,strict,
test_0022,125,5125,False,manual_adjudication,结论明确为5125,13285,False,strict,,2971,False,strict,,96,False,strict,
test_0023,48,20,False,single_number_conclusion,,84,False,strict,,40,False,strict,,48,True,strict,
test_0024,15400,6800,False,boxed,,10400,False,strict,,16800,False,strict,,15400,True,strict,
test_0025,250,250,True,single_number_conclusion,,50,False,strict,,250,True,strict,,250,True,strict,
test_0026,18,26,False,boxed,,7.6,False,strict,,0,False,strict,,18,True,strict,
test_0027,1490,1490,True,boxed,,170,False,strict,,170,False,strict,,1490,True,strict,
test_0028,11,11,True,boxed,,5,False,strict,,7,False,strict,,11,True,strict,
test_0029,106,98.57,False,single_number_conclusion,,4,False,strict,,48.59,False,strict,,106.12,False,strict,
test_0030,138,102,False,single_number_conclusion,,224,False,strict,,206,False,strict,,181,False,strict,
test_0031,15,15,True,boxed,,1.5,False,strict,,15,True,strict,,15.00,True,strict,
test_0032,4,4,True,boxed,,18,False,strict,,4,True,strict,,4,True,strict,
test_0033,82,82,True,manual_adjudication,boxed结论为82,1600,False,strict,,31.25,False,strict,,82,True,strict,
test_0034,2,30,False,single_number_conclusion,,1.5,False,strict,,30,False,strict,,1.5,False,strict,
test_0035,51,51,True,boxed,,49,False,strict,,39,False,strict,,41,False,strict,
test_0036,4,-4,False,boxed,,4,True,strict,,3,False,strict,,4,True,strict,
test_0037,100,40,False,boxed,,100,True,strict,,60,False,strict,,100,True,strict,
test_0038,25,0,False,boxed,,47000,False,strict,,49500,False,strict,,25,True,strict,
test_0039,188,143,False,single_number_conclusion,,188,True,strict,,188,True,strict,,188,True,strict,
test_0040,30,30,True,boxed,,30,True,strict,,30,True,strict,,30,True,strict,
test_0041,30,30,True,boxed,,30,True,strict,,30,True,strict,,30,True,strict,
test_0042,150,240,False,manual_adjudication,结论明确为240,240,False,strict,,240,False,strict,,240,False,strict,
test_0043,7,7.00,True,single_number_conclusion,,7,True,strict,,7,True,strict,,7.00,True,strict,
test_0044,350,350,True,boxed,,4550,False,strict,,2000,False,strict,,350,True,strict,
test_0045,2,4,False,boxed,,1.3333333333333334,False,strict,,4,False,strict,,4.5,False,strict,
test_0046,36,36,True,boxed,,36,True,strict,,36,True,strict,,36,True,strict,
test_0047,2,20,False,boxed,,70,False,strict,,5,False,strict,,2,True,strict,
test_0048,14,6,False,single_number_conclusion,,14,True,strict,,1971,False,strict,,14,True,strict,
test_0049,33,33,True,manual_adjudication,结论明确为33,33,True,strict,,33,True,strict,,33,True,strict,
test_0050,21,1,False,boxed,,11,False,strict,,1,False,strict,,21,True,strict,
test_0051,175,1385,False,boxed,,100,False,strict,,320,False,strict,,175,True,strict,
test_0052,60,36,False,boxed,,20,False,strict,,72,False,strict,,60,True,strict,
test_0053,49,92,False,boxed,,84,False,strict,,49,True,strict,,49,True,strict,
test_0054,1800,1050,False,single_number_conclusion,,1800,True,strict,,3150,False,strict,,1500,False,strict,
test_0055,27,31,False,boxed,,35,False,strict,,21,False,strict,,27,True,strict,
test_0056,16,16.5,False,boxed,,35.7,False,strict,,16.5,False,strict,,15.4,False,strict,
test_0057,49,54.9,False,boxed,,0,False,strict,,61,False,strict,,49,True,strict,
test_0058,6,-4,False,single_number_conclusion,,4,False,strict,,4,False,strict,,5,False,strict,
test_0059,32,,False,non_stop,,,False,needs_review,,10.67,False,strict,,32,True,strict,
test_0060,168,126,False,boxed,,118,False,strict,,84,False,strict,,168,True,strict,
test_0061,225,225,True,single_number_conclusion,,25,False,strict,,225,True,strict,,225,True,strict,
test_0062,50,50,True,boxed,,50,True,strict,,50,True,strict,,50,True,strict,
test_0063,45,2.5,False,boxed,,31,False,strict,,160,False,strict,,10,False,strict,
test_0064,7,7,True,single_number_conclusion,,7,True,strict,,7,True,strict,,7,True,strict,
test_0065,800,800,True,single_number_conclusion,,0.024,False,strict,,800,True,strict,,800,True,strict,
test_0066,22,22,True,boxed,,11,False,strict,,22,True,strict,,22,True,strict,
test_0067,235,45.00,False,single_number_conclusion,,225,False,strict,,195,False,strict,,235,True,strict,
test_0068,3,6,False,boxed,,42,False,strict,,6,False,strict,,3,True,strict,
test_0069,2,18,False,boxed,,-9,False,strict,,18,False,strict,,4.5,False,strict,
test_0070,3000,2900,False,boxed,,3000,True,strict,,2400,False,strict,,3000,True,strict,
test_0071,300,500,False,single_number_conclusion,,60,False,strict,,130,False,strict,,300,True,strict,
test_0072,20,20,True,manual_adjudication,结论明确为20,20,True,strict,,20,True,strict,,20,True,strict,
test_0073,130,130,True,single_number_conclusion,,130,True,strict,,130,True,strict,,130,True,strict,
test_0074,1,3,False,single_number_conclusion,,3,False,strict,,2,False,strict,,1,True,strict,
test_0075,8,57.60,False,boxed,,57.6,False,strict,,57.6,False,strict,,8,True,strict,
test_0076,50,56,False,boxed,,54,False,strict,,50,True,strict,,50,True,strict,
test_0077,3,10,False,boxed,,21,False,strict,,1,False,strict,,3,True,strict,
test_0078,5,6,False,boxed,,5,True,strict,,7,False,strict,,5,True,strict,
test_0079,110,110,True,single_number_conclusion,,110,True,strict,,110,True,strict,,110,True,strict,
test_0080,1300,1320,False,boxed,,165,False,strict,,2900,False,strict,,1300,True,strict,
test_0081,16,16,True,single_number_conclusion,,16,True,strict,,11,False,strict,,16,True,strict,
test_0082,80,80,True,single_number_conclusion,,80,True,strict,,80,True,strict,,80,True,strict,
test_0083,45,6,False,boxed,,17,False,strict,,45,True,strict,,45,True,strict,
test_0084,36,36,True,boxed,,36,True,strict,,36,True,strict,,36,True,strict,
test_0085,5,,False,non_stop,,500,False,strict,,0.0592,False,strict,,5,True,strict,
test_0086,9,65,False,boxed,,1400,False,strict,,700,False,strict,,6,False,strict,
test_0087,36,36,True,manual_adjudication,结论明确为36,36,True,strict,,36,True,strict,,36,True,strict,
test_0088,60,60,True,boxed,,60,True,strict,,60,True,strict,,60,True,strict,
test_0089,9,30,False,boxed,,65,False,strict,,9,True,strict,,9,True,strict,
test_0090,1,1,True,boxed,,1,True,strict,,2,False,strict,,1,True,strict,
test_0091,30,30,True,boxed,,17.5,False,strict,,70,False,strict,,30,True,strict,
test_0092,70000,120000,False,boxed,,65000,False,strict,,120,False,strict,,195000,False,strict,
test_0093,34,34,True,single_number_conclusion,,34,True,strict,,34,True,strict,,34,True,strict,
test_0094,13,19,False,boxed,,15,False,strict,,25.5,False,strict,,13,True,strict,
